id_asegurado,ciudad,lista_restrictiva,nombres_asegurado,segmento,perfil_riesgo_historico,antiguedad,numero_polizas,reclamos_ultimos_12_meses,mora_actual,score_cliente_simulado
ASEG-0099,Manta,False,Mora Loza Adriana Marcela,Natural,Alto,5,6,6,True,49
ASEG-0012,Quito,False,Naranjo Velasco Edwin Patricio,Natural,Alto,6,8,8,True,39
ASEG-0038,Quito,False,Espinoza Rueda Cinthya Dayana,Natural,Alto,2,5,5,True,49
ASEG-0144,Guayaquil,False,Brito Ordóñez Henry Omar,Natural,Bajo,12,1,1,True,99
ASEG-0198,Cuenca,False,Pacheco Vélez Gloria Susana,Natural,Alto,9,4,4,True,69
ASEG-0167,Manta,False,Delgado Cevallos Iván Rodrigo,Natural,Medio,12,2,2,False,100
ASEG-0048,Ibarra,False,Cabrera Yépez Marcelo Javier,Natural,Medio,9,2,2,False,100
ASEG-0042,Ibarra,False,Salcedo Ponce Margoth Elizabeth,Natural,Alto,6,5,5,True,57
ASEG-0192,Cuenca,False,Palacios Andrade Cristóbal Sebastián,Natural,Medio,8,2,2,False,100
ASEG-0105,Portoviejo,False,Montoya Llorente Daniela Fernanda,Natural,Bajo,3,1,1,False,100
ASEG-0046,Loja,False,Hidalgo Zurita Alexandra Paola,Natural,Alto,14,5,5,True,65
ASEG-0040,Cuenca,False,Benítez Arcos Luis Fernando,Natural,Medio,9,2,2,False,100
ASEG-0014,Quito,False,Cordero Alvarado Beatriz Elena,Natural,Medio,10,3,3,False,100
ASEG-0102,Cuenca,False,Ulloa Morocho Gonzalo Patricio,Natural,Medio,12,2,2,False,100
ASEG-0106,Quito,False,Andrade Viteri Sandra Lorena,Natural,Alto,13,4,4,True,71
ASEG-0008,Cuenca,False,Almeida Granda Fernando Eduardo,Natural,Medio,14,3,3,False,100
ASEG-0183,Guayaquil,False,Bonilla Torres Nathaly Carolina,Natural,Medio,10,3,3,False,100
ASEG-0027,Ambato,False,García Morales Luis Eduardo,Natural,Medio,3,2,2,False,94
ASEG-0036,Esmeraldas,False,Pérez Vásquez Ana Lucía,Natural,Alto,10,5,5,True,65
ASEG-0082,Manta,False,Torres Espinoza Carlos Andrés,Natural,Alto,13,4,4,True,71
ASEG-0140,Portoviejo,False,Rodríguez Cárdenas María José,Natural,Medio,4,3,3,False,90
ASEG-0003,Riobamba,False,López Guerrero Juan Pablo,Natural,Medio,7,2,2,False,100
ASEG-0076,Ambato,False,Martínez Alvarado Rosa Elena,Natural,Bajo,12,1,1,False,100
ASEG-0006,Ibarra,False,Sánchez Herrera Diego Alejandro,Natural,Medio,6,2,2,False,100
ASEG-0030,Guayaquil,False,Ramírez Peñafiel Carmen Susana,Natural,Medio,7,3,3,False,96
ASEG-0031,Ambato,False,Morales Espín Byron Rodrigo,Natural,Alto,7,4,4,True,65
ASEG-0090,Ibarra,False,Flores Castillo Roberto Antonio,Natural,Bajo,6,1,1,False,100
ASEG-0178,Ibarra,False,Jiménez Vargas Patricia Elena,Natural,Medio,10,3,3,False,100
ASEG-0001,Manta,False,Morales Freire Byron Rodrigo,Natural,Medio,12,3,3,True,87
ASEG-0186,Guayaquil,False,Castro Villafuerte Sandra Cristina,Natural,Bajo,3,1,1,False,100
ASEG-0123,Loja,False,Ortega Suárez Héctor Guillermo,Natural,Medio,11,2,2,False,100
ASEG-0071,Esmeraldas,False,Núñez Andrade Verónica Paola,Natural,Alto,1,4,4,True,53
ASEG-0127,Manta,False,Herrera Salinas Jorge Enrique,Natural,Medio,13,2,2,False,100
ASEG-0022,Ambato,False,Vega Montoya Fanny Lorena,Natural,Medio,2,2,2,False,92
ASEG-0059,Ibarra,False,Mendoza Ríos Marco Vinicio,Natural,Alto,2,5,5,True,49
ASEG-0107,Manta,False,Silva Intriago Katherine Noemi,Natural,Medio,5,3,3,False,92
ASEG-0023,Ambato,False,Ramos Loor Freddy Oswaldo,Natural,Medio,1,3,3,True,69
ASEG-0002,Cuenca,False,Aguirre Bermeo Liliana Alexandra,Natural,Alto,4,4,4,True,59
ASEG-0081,Portoviejo,False,Carrillo Cabrera Patricio German,Natural,Alto,7,4,4,True,65
ASEG-0174,Portoviejo,False,Gutiérrez Moreta Diana Fernanda,Natural,Bajo,3,1,1,False,100
ASEG-0020,Ibarra,False,Vargas Andrade William Alexis,Natural,Medio,4,2,2,True,81
ASEG-0045,Loja,False,Mora Loza Adriana Marcela,Natural,Alto,12,5,5,True,65
ASEG-0121,Ibarra,False,Naranjo Velasco Edwin Patricio,Natural,Bajo,13,1,1,False,100
ASEG-0126,Ibarra,False,Espinoza Rueda Cinthya Dayana,Natural,Bajo,8,1,1,False,100
ASEG-0151,Quito,False,Brito Ordóñez Henry Omar,Natural,Bajo,3,1,1,False,100
ASEG-0164,Guayaquil,False,Pacheco Vélez Gloria Susana,Natural,Bajo,3,1,1,False,100
ASEG-0181,Quito,False,Delgado Cevallos Iván Rodrigo,Natural,Bajo,12,1,1,False,100
ASEG-0013,Ibarra,False,Cabrera Yépez Marcelo Javier,Natural,Alto,4,5,5,True,53
ASEG-0104,Loja,False,Salcedo Ponce Margoth Elizabeth,Natural,Bajo,1,1,1,False,96
ASEG-0154,Guayaquil,False,Palacios Andrade Cristóbal Sebastián,Natural,Bajo,8,1,1,False,100
ASEG-0015,Loja,False,Montoya Llorente Daniela Fernanda,Natural,Bajo,8,1,1,False,100
ASEG-0176,Portoviejo,False,Hidalgo Zurita Alexandra Paola,Natural,Medio,8,3,3,False,98
ASEG-0108,Cuenca,False,Benítez Arcos Luis Fernando,Natural,Bajo,10,1,1,True,99
ASEG-0195,Esmeraldas,False,Cordero Alvarado Beatriz Elena,Natural,Bajo,7,1,1,False,100
ASEG-0032,Riobamba,False,Ulloa Morocho Gonzalo Patricio,Natural,Alto,1,4,4,True,53
ASEG-0141,Guayaquil,False,Andrade Viteri Sandra Lorena,Natural,Medio,4,3,3,False,90
ASEG-0096,Esmeraldas,False,Almeida Granda Fernando Eduardo,Natural,Medio,8,3,3,False,98
ASEG-0168,Guayaquil,False,Bonilla Torres Nathaly Carolina,Natural,Medio,14,3,3,False,100
ASEG-0175,Quito,False,García Morales Luis Eduardo,Natural,Bajo,6,1,1,False,100
ASEG-0062,Manta,False,Pérez Vásquez Ana Lucía,Natural,Medio,3,2,2,False,94
ASEG-0026,Portoviejo,False,Torres Espinoza Carlos Andrés,Natural,Medio,3,3,3,False,88
ASEG-0057,Riobamba,False,Rodríguez Cárdenas María José,Natural,Alto,13,5,5,True,65
ASEG-0138,Loja,False,López Guerrero Juan Pablo,Natural,Bajo,10,1,1,False,100
ASEG-0133,Ibarra,False,Martínez Alvarado Rosa Elena,Natural,Bajo,12,1,1,False,100
ASEG-0047,Cuenca,False,Sánchez Herrera Diego Alejandro,Natural,Medio,11,2,2,False,100
ASEG-0043,Riobamba,False,Ramírez Peñafiel Carmen Susana,Natural,Medio,11,2,2,False,100
ASEG-0173,Quito,False,Flores Castillo Roberto Antonio,Natural,Medio,11,2,2,False,100
ASEG-0089,Riobamba,False,Jiménez Vargas Patricia Elena,Natural,Alto,7,5,5,True,59
ASEG-0124,Ambato,False,Morales Freire Byron Rodrigo,Natural,Medio,13,2,2,False,100
ASEG-0101,Ibarra,False,Castro Villafuerte Sandra Cristina,Natural,Medio,2,2,2,False,92
ASEG-0069,Ibarra,False,Ortega Suárez Héctor Guillermo,Natural,Alto,5,4,4,True,61
ASEG-0025,Loja,False,Núñez Andrade Verónica Paola,Natural,Medio,4,3,3,False,90
ASEG-0161,Ibarra,False,Herrera Salinas Jorge Enrique,Natural,Bajo,3,1,1,False,100
ASEG-0074,Cuenca,False,Vega Montoya Fanny Lorena,Natural,Medio,1,3,3,False,84
ASEG-0122,Guayaquil,False,Mendoza Ríos Marco Vinicio,Natural,Bajo,12,1,1,False,100
ASEG-0016,Manta,False,Silva Intriago Katherine Noemi,Natural,Medio,9,2,2,False,100
ASEG-0092,Ambato,False,Ramos Loor Freddy Oswaldo,Natural,Medio,14,3,3,False,100
ASEG-0135,Ambato,False,Aguirre Bermeo Liliana Alexandra,Natural,Bajo,7,1,1,False,100
ASEG-0163,Guayaquil,False,Carrillo Cabrera Patricio German,Natural,Bajo,3,1,1,False,100
ASEG-0094,Manta,False,Gutiérrez Moreta Diana Fernanda,Natural,Medio,14,3,3,False,100
ASEG-0098,Ambato,False,Vargas Andrade William Alexis,Natural,Medio,5,3,3,False,92
ASEG-0191,Esmeraldas,False,Mora Loza Adriana Marcela,Natural,Bajo,10,1,1,False,100
ASEG-0060,Manta,False,Naranjo Velasco Edwin Patricio,Natural,Medio,5,3,3,False,92
ASEG-0110,Cuenca,False,Espinoza Rueda Cinthya Dayana,Natural,Medio,11,2,2,False,100
ASEG-0189,Riobamba,False,Brito Ordóñez Henry Omar,Natural,Bajo,7,1,1,False,100
ASEG-0185,Ambato,False,Pacheco Vélez Gloria Susana,Natural,Bajo,2,1,1,False,98
ASEG-0197,Loja,False,Delgado Cevallos Iván Rodrigo,Natural,Bajo,9,1,1,False,100
ASEG-0091,Manta,False,Cabrera Yépez Marcelo Javier,Natural,Medio,2,2,2,True,77
ASEG-0086,Portoviejo,False,Salcedo Ponce Margoth Elizabeth,Natural,Medio,7,3,3,False,96
ASEG-0157,Cuenca,False,Palacios Andrade Cristóbal Sebastián,Natural,Bajo,9,1,1,True,97
ASEG-0097,Loja,False,Montoya Llorente Daniela Fernanda,Natural,Medio,12,3,3,False,100
ASEG-0056,Ambato,False,Hidalgo Zurita Alexandra Paola,Natural,Bajo,8,1,1,False,100
ASEG-0067,Riobamba,False,Benítez Arcos Luis Fernando,Natural,Medio,9,2,2,False,100
ASEG-0085,Loja,False,Cordero Alvarado Beatriz Elena,Natural,Medio,9,3,3,False,100
ASEG-0053,Ambato,False,Ulloa Morocho Gonzalo Patricio,Natural,Medio,5,2,2,False,98
ASEG-0078,Cuenca,False,Andrade Viteri Sandra Lorena,Natural,Medio,11,3,3,False,100
ASEG-0077,Portoviejo,False,Almeida Granda Fernando Eduardo,Natural,Medio,6,2,2,False,100
ASEG-0011,Guayaquil,False,Bonilla Torres Nathaly Carolina,Natural,Medio,2,3,3,False,86
ASEG-0088,Esmeraldas,False,García Morales Luis Eduardo,Natural,Medio,11,2,2,False,100
ASEG-0035,Loja,False,Pérez Vásquez Ana Lucía,Natural,Medio,9,2,2,False,100
ASEG-0054,Ambato,False,Torres Espinoza Carlos Andrés,Natural,Medio,2,3,3,False,86
ASEG-0044,Loja,False,Rodríguez Cárdenas María José,Natural,Medio,12,3,3,False,100
ASEG-0058,Loja,False,López Guerrero Juan Pablo,Natural,Bajo,7,1,1,False,100
ASEG-0072,Cuenca,False,Martínez Alvarado Rosa Elena,Natural,Medio,13,3,3,False,100
ASEG-0055,Ambato,False,Sánchez Herrera Diego Alejandro,Natural,Medio,10,3,3,False,100
ASEG-0052,Guayaquil,False,Ramírez Peñafiel Carmen Susana,Natural,Medio,9,3,3,False,100
ASEG-0051,Manta,False,Flores Castillo Roberto Antonio,Natural,Medio,3,2,2,False,94
ASEG-0019,Riobamba,False,Suárez Loor Carmen Violeta,Natural,Alto,11,4,4,True,71
